id,Code,Transport,Longitude,Latitude,Station,District_Name,Neighborhood_Name
604,K001,Underground,2.166162,41.411775,METRO (L4) - ALFONS X-,Horta-Guinardó,el Baix Guinardó
605,K001,Underground,2.128135,41.375637,METRO (L5) - BADAL (C. de Sants)-,Sants-Montjuïc,Sants - Badal
606,K001,Underground,2.147015,41.435432,METRO (L3) - MUNDET (Llars Mundet - Velòdrom)-,Horta-Guinardó,Montbau
607,K001,Underground,2.120678,41.375948,METRO (L5) - COLLBLANC-,,
608,K003,RENFE,2.06998,41.357914,RENFE - CORNELLÀ-,,
609,K003,RENFE,2.230523,41.424408,RENFE - SANT ADRIÀ DEL BESÒS-,,
610,K003,RENFE,2.115466,41.354367,RENFE - BELLVITGE-,,
611,K011,Tram,2.09287,41.376929,"TRAMVIA (T1,T2,T3) - CAN CLOTA-",,
612,K011,Tram,2.080799,41.369445,"TRAMVIA (T1,T2,T3) - MONTESA-",,
613,K011,Tram,2.142997,41.392183,"TRAMVIA (T1,T2,T3) - FRANCESC MACIÀ-",Les Corts,les Corts
614,K011,Tram,2.126641,41.388002,"TRAMVIA (T1,T2,T3) - Mª CRISTINA-",Les Corts,la Maternitat i Sant Ramon
615,K001,Underground,2.178343,41.384137,METRO (L4) - JAUME I (Pl. l'Àngel)-,Ciutat Vella,el Barri Gòtic
616,K001,Underground,2.179204,41.383774,METRO (L4) - JAUME I (Via Laietana)-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
617,K001,Underground,2.179125,41.383984,METRO (L4) - JAUME I-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
618,K001,Underground,2.164802,41.391905,METRO (L3) - PASSEIG DE GRÀCIA (C. d'Aragó)-,Eixample,la Dreta de l'Eixample
619,K001,Underground,2.173357,41.403512,METRO (L5) - SAGRADA FAMÍLIA (C. de Provença)-,Eixample,la Sagrada Família
620,K001,Underground,2.158487,41.394451,METRO (L5) - DIAGONAL (Rambla de Catalunya)-,Eixample,la Dreta de l'Eixample
621,K001,Underground,2.175393,41.410166,METRO (L5) - SANT PAU-DOS DE MAIG (C. de Cartagena)-,Eixample,la Sagrada Família
622,K001,Underground,2.160499,41.395422,METRO (L3) - DIAGONAL (Pg. de Gràcia)-,Eixample,la Dreta de l'Eixample
623,K001,Underground,2.186242,41.42096,"METRO (L9, L10) - LA SAGRERA-",Sant Andreu,la Sagrera
624,K001,Underground,2.155126,41.424597,METRO (L5) - EL CARMEL-,Horta-Guinardó,el Carmel
625,K001,Underground,2.182557,41.407338,METRO (L2) - ENCANTS-,Sant Martí,el Camp de l'Arpa del Clot
626,K001,Underground,2.117108,41.368594,METRO (L1) - TORRASSA-,,
627,K001,Underground,2.175019,41.390021,METRO (L1) - URQUINAONA (C. Bruc)-,Eixample,la Dreta de l'Eixample
628,K001,Underground,2.103931,41.368184,METRO (L1) - CAN SERRA-,,
629,K001,Underground,2.199663,41.449896,METRO (L1) - BARÓ DE VIVER-,Sant Andreu,la Trinitat Vella
630,K001,Underground,2.158936,41.37487,METRO (L3) - POBLE SEC (Av. del Paral.lel)-,Sants-Montjuïc,el Poble-sec
631,K001,Underground,2.136549,41.382673,METRO (L3) - PLAÇA DEL CENTRE-,Les Corts,les Corts
632,K001,Underground,2.140979,41.417205,METRO (L3) - PENITENTS (C. d'Anna Piferrer)-,Gràcia,Vallcarca i els Penitents
633,K002,Railway (FGC),2.034689,41.357711,FGC - MOLÍ NOU-CIUTAT COOPERATIVA-,,
634,K002,Railway (FGC),2.068427,41.351845,FGC - CORNELLÀ-RIERA-,,
635,K002,Railway (FGC),2.012394,41.388104,FGC - SANT VICENÇ DELS HORTS-,,
636,K011,Tram,2.069961,41.36843,TRAMVIA (T2) - CENTRE MIQUEL MARTÍ I POL-,,
637,K001,Underground,2.158998,41.382457,METRO (L1) - URGELL-,Eixample,Sant Antoni
638,K001,Underground,2.187227,41.421981,METRO (L1) - LA SAGRERA (Av. Meridiana)-,Sant Andreu,la Sagrera
639,K001,Underground,2.106409,41.34472,METRO (L1) - HOSPITAL DE BELLVITGE-,,
640,K001,Underground,2.128698,41.368443,METRO (L1) - SANTA EULÀLIA-,,
641,K001,Underground,2.134031,41.373543,METRO (L1) - MERCAT NOU-,Sants-Montjuïc,Sants
642,K004,Airport train,2.193312,41.435959,Tren AEROPORT - SANT ANDREU COMTAL-,Sant Andreu,Sant Andreu
643,K001,Underground,2.157956,41.392909,"FGC (L6,L7) - PROVENÇA-",Eixample,l'Antiga Esquerra de l'Eixample
644,K001,Underground,2.187148,41.409242,METRO (L1) - CLOT (C. Aragó)-,Sant Martí,el Clot
645,K001,Underground,2.133647,41.372953,METRO (L1) - MERCAT NOU (C. de la Riera de Tena)-,Sants-Montjuïc,Sants
646,K001,Underground,2.154913,41.379656,METRO (L1) - ROCAFORT (Gv. Corts Catalanes)-,Eixample,la Nova Esquerra de l'Eixample
647,K002,Railway (FGC),2.118998,41.398967,FGC - REINA ELISENDA-,Sarrià-Sant Gervasi,Sarrià
648,K008,Maritime station,2.175248,41.352808,Terminal Marítima E *Creuers,Sants-Montjuïc,la Marina del Prat Vermell
649,K008,Maritime station,2.174767,41.350955,Terminal Marítima D *Creuers,Sants-Montjuïc,la Marina del Prat Vermell
650,K002,Railway (FGC),2.131188,41.397617,FGC - LES TRES TORRES<center>-,Sarrià-Sant Gervasi,les Tres Torres
651,K001,Underground,2.158822,41.37522,METRO (L3) - POBLE SEC (C. de Manso)-,Eixample,Sant Antoni
652,K001,Underground,2.158822,41.37522,METRO (L3) - POBLE SEC (C. de Manso)-,Eixample,Sant Antoni
653,K001,Underground,2.047977757,41.38134284,Prueba,Prueba,Prueba
